,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Ely Dam,Samantha,Taylor,48,Head,Single,Female,Charity officer,None,None
1,1,Ely Dam,Darren,Taylor,28,Son,Single,Male,Careers adviser,None,None
2,2,Ely Dam,Sylvia,Hopkins,65,Head,Married,Female,Unemployed,None,None
3,2,Ely Dam,Gerard,Hopkins,70,Husband,Married,Male,Retired Exhibition designer,None,None
4,2,Ely Dam,Ryan,Hopkins,20,Son,Single,Male,University Student,None,None
5,2,Ely Dam,Julia,Hopkins,8,Daughter,NA,Female,Student,None,NA
6,3,Ely Dam,Kayleigh,Hussain,48,Head,Single,Female,"Sound technician, broadcasting/film/video",None,None
7,3,Ely Dam,Alan,Edwards,50,Partner,Single,Male,IT consultant,None,None
8,3,Ely Dam,Wayne,Hussain,17,Son,NA,Male,Student,None,NA
9,3,Ely Dam,Vincent,Hussain,14,Son,NA,Male,Student,None,NA
10,3,Ely Dam,Dylan,Hussain,12,Son,NA,Male,Student,None,NA
11,4,Ely Dam,Marion,Akhtar,69,Head,Married,Female,Retired Orthoptist,None,None
12,4,Ely Dam,Jordan,Akhtar,73,Husband,Married,Male,Retired Arts administrator,None,None
13,5,Ely Dam,Jeffrey,Lewis,95,Head,Divorced,Male,Retired Equities trader,None,None
14,6,Ely Dam,Natalie,Mitchell,60,Head,Divorced,Female,Community education officer,None,Christian
15,6,Ely Dam,Kelly,Mitchell,37,Daughter,Single,Female,"Therapist, occupational",None,Christian
16,6,Ely Dam,Clare,Mitchell,34,Daughter,Single,Female,Veterinary surgeon,None,None
17,7,Ely Dam,Mandy,Lyons,42,Head,Single,Female,Unemployed,None,Catholic
18,7,Ely Dam,Marie,Lyons,6,Daughter,NA,Female,Student,None,NA
19,8,Ely Dam,Lorraine,Clements,30,Head,Divorced,Female,Television production assistant,None,Catholic
20,8,Ely Dam,Beverley,Williams,21,Lodger,Single,Female,University Student,None,None
21,8,Ely Dam,Stacey,George,43,Lodger,Single,Female,"Designer, blown glass/stained glass",None,Catholic
22,9,Ely Dam,Carol,Metcalfe,82,Head,Married,Female,Retired Printmaker,None,Christian
23,9,Ely Dam,Charlie,Metcalfe,84,Husband,Married,Male,"Retired Scientist, marine",None,Christian
24,10,Ely Dam,Carole,Woods,27,Head,Married,Female,"Librarian, public",None,Catholic
25,10,Ely Dam,Guy,Woods,30,Husband,Married,Male,Waste management officer,None,Catholic
26,11,Ely Dam,Jacqueline,Watkins,40,Head,Married,Female,Building services engineer,None,Catholic
27,11,Ely Dam,Oliver,Watkins,40,Husband,Married,Male,Television/film/video producer,None,Catholic
28,12,Ely Dam,Dorothy,Bradley,84,Head,Single,Female,Unemployed,None,Christian
29,13,Ely Dam,Rebecca,Thomas,30,Head,Single,Female,Occupational hygienist,None,None
30,13,Ely Dam,Deborah,Thomas,2,Daughter,NA,Female,Child,None,NA
31,14,Ely Dam,Joan,Robinson,75,Head,Widowed,Female,Unemployed,None,Christian
